Rank,Year,Make,Model
1,1932,Ford,V8
2,1959,Austin,Mini
3,1955,Chevrolet,Chevrolet
4,1938,Volkswagen,Beetle
5,1964,Porsche,911
6,1955,Mercedes-Benz,300SL Gullwing
7,1962,Ferrari,250 GTO
8,1928,Duesenberg,Model J
9,1908,Ford,Model T
10,1968,BMW,2002
11,1966,Lamborghini,Miura
12,1908,Cadillac,Cadillac
13,1938,Bugatti,Type 57S Atlantic
14,1949,Oldsmobile,88
15,1964,Ford,Mustang
16,1963,Chevrolet,Corvette Sting Ray
17,1964,Pontiac,GTO
18,1967,Chevrolet,Camaro
19,1973,Pontiac,Trans Am Super Duty
20,1987,Buick,Grand National and GNX
21,1987,Porsche,959
22,1989,Nissan,Skyline GT-R
23,1969,Porsche,917
24,1949,Ford,Ford
25,1957,Fiat,500
26,1975,Volkswagen,Golf/Rabbit GTI
27,1990,Acura,NSX
28,1990,Mazda,Miata MX-5
29,1970,Datsun,240Z
30,1961,Jaguar,E-Type
31,1995,BMW,M3
32,1968,Mercedes-Benz,300SEL 6.3
33,1973,Lamborghini,Countach
34,1984,Honda,Civic CRX
35,2006,Mercede-Benz,CLS-Class
36,1973,Lancia,Stratos 
37,1957,Lotus,7
38,2004,Toyota,Prius
39,1992,Dodge,Viper RT/10
40,1993,Honda,Civic Coupe
41,1955,Ford,Thunderbird
42,1961,Lincoln,Continental
43,1970,Plymouth,Hemi Cuda
44,1987,Ferrari,F40
45,1976,Honda,Accord
46,1992,Toyota,Camry
47,1984,Jeep,Cherokee
48,1996,Audi,A4
49,1990,Lexus,LS 400
50,1990,Chevrolet,Corvette ZR1
